,Formula,FW,DSSTox_CID,SR-HSE,ID,SMILES,Molecule,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
0,C27H25ClN6,468.9806,25848,0.0,NCGC00178831-03,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x7fad19b47ac0>,0.0,,1.0,,1.0,1.0,,,1.0,,
1,C20H6Br4Na2O5,691.8542,5234,0.0,NCGC00166114-03,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x7fad19b479e0>,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,
2,C47H83NO17,934.1584,28909,0.0,NCGC00263563-01,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+],<rdkit.Chem.rdchem.Mol object at 0x7fad19b810b0>,0.0,,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0
3,C52H54N4O12,927.0048,5513,1.0,NCGC00013058-02,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81190>,0.0,,,0.0,1.0,1.0,,,,0.0,
4,C66H87N17O14,1342.5025,26683,,NCGC00167516-01,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b812e0>,0.0,,,,,,,,,,
5,C20H35NOS,337.563,25638,1.0,NCGC00018301-05,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b813c0>,0.0,,,,0.0,,,0.0,,,
6,C7H5HgNO3,351.7095,31427,1.0,NCGC00249897-01,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,<rdkit.Chem.rdchem.Mol object at 0x7fad19b814a0>,,,,,,,,,,,
7,C10H20N2S4,296.5392,1322,1.0,NCGC00016000-18,CCN(CC)C(=S)SSC(=S)N(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81580>,0.0,,,0.0,1.0,1.0,,1.0,0.0,1.0,1.0
8,C25H39ClN2O,419.043,26837,,NCGC00181091-01,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81660>,0.0,,,,,,,,,,
9,C29H40Cl2FN3O3,568.5506,24204,0.0,NCGC00094089-01,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81740>,0.0,,,,,,,,,,
10,C26H58Cl2N10,581.7117,25881,,NCGC00094996-01,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81820>,0.0,,,,,,,,,,
11,C22H26ClF2NO4,441.8959,28991,0.0,NCGC00263579-01,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81970>,0.0,,,0.0,0.0,,0.0,,0.0,,0.0
